Year,Player ID,Player Name,Total Prize Money (Year),Total Prize Money (Overall),% of Total
2000,cogline,Alexis Wicen,"$1,000.00 ","$1,356.72 ",73.71%
2000,Blessed,Robert Lash,"$1,000.00 ","$1,000.00 ",100.00%
2000,edge,Melvin Wang,"$1,000.00 ","$1,000.00 ",100.00%
2000,emplate,Roberto Jarawan,"$1,000.00 ","$1,000.00 ",100.00%
2000,Serm,Paul Martinez,"$1,000.00 ","$1,000.00 ",100.00%
2000,Shakes,Amy Fong,"$1,000.00 ","$1,000.00 ",100.00%
2000,DoGGi,"Choi, Soo Bum",$898.87 ,"$2,806.11 ",32.03%
2000,강명희,"Gang, Myeong Hui",$898.87 ,$898.87 ,100.00%
2000,FecsX,- -,$876.33 ,$876.33 ,100.00%
2000,RiX,Dan Hammans,$800.00 ,"$18,500.00 ",4.32%
2000,Burn,Richard Pavlicek,$800.00 ,"$1,175.00 ",68.09%
2000,gutter_rat,- -,$800.00 ,$800.00 ,100.00%
2000,Xenon,Harvey Migotti,$785.00 ,"$15,289.70 ",5.13%
2000,Bloodshot,Jose Roque,$750.00 ,"$2,000.00 ",37.50%
2000,Ar1z,Shane Vickers,$750.00 ,$750.00 ,100.00%
2000,Britz_Nannia,- -,$704.63 ,$704.63 ,100.00%
2000,ZyZ,Benjamin Bohrmann,$701.07 ,"$108,965.30 ",0.64%
2000,ReVeNaNt,Tyler Bentz,$700.00 ,"$9,866.67 ",7.09%
2000,wirsi,Andreas Goebel,$619.08 ,"$2,811.97 ",22.02%
2000,Scorp,- -,$619.08 ,"$2,568.15 ",24.11%
2000,Speiky,- -,$619.08 ,"$1,425.22 ",43.44%
2000,NykoN,- -,$619.08 ,$713.50 ,86.77%
2000,Neok,Tobias Grieser,$613.43 ,"$2,602.66 ",23.57%
2000,Strategist,Justin Toh,$606.80 ,$606.80 ,100.00%
2000,JinSu,"Jang, Jin Su",$599.25 ,"$1,975.38 ",30.34%
2000,JinNam,"Jang, Jin Nam",$599.25 ,"$1,222.28 ",49.03%
2000,국범균,"Guk, Beom Gwon",$599.25 ,$599.25 ,100.00%
1999,Fatal,Chris Bond,"$50,000.00 ","$50,000.00 ",100.00%
1999,Grrrr...,Guillaume Patry,"$35,416.35 ","$62,965.83 ",56.25%
1999,October,"Jang, Kyung Ho","$27,406.76 ","$27,406.76 ",100.00%
1999,wombat,Mark Larsen,"$15,000.00 ","$55,551.67 ",27.00%
1999,SoSo,Wayne Chiang,"$11,861.09 ","$11,861.09 ",100.00%
1999,Kuin,Boniface Danan,"$10,000.00 ","$14,000.00 ",71.43%
1999,Hakeem,Amir Haleem,"$10,000.00 ","$10,200.00 ",98.04%
